Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,continent,country_code,Continent_AF,Continent_AS,Continent_EU,Continent_NA,Continent_OC,Continent_SA,Country_US,Country_CN
Chris Britt,1.3,United States,fintech,2263,48.0,"San Francisco, California",United States,,,"Bachelor of Arts/Science, Tulane University",True,NAm,US,0,0,0,1,0,0,1,0
Rafal Brzoska,1.3,Poland,parcel lockers,2263,43.0,"Warsaw, Poland",Poland,,,,True,EU,PL,0,0,1,0,0,0,0,0
Chuck Bundrant,1.3,United States,fishing,2263,79.0,"Seattle, Washington",United States,Married,3.0,"Drop Out, Middle Tennessee State University",True,NAm,US,0,0,0,1,0,0,1,0
Pradip Burman,1.3,India,consumer goods,2263,78.0,"Delhi, India",India,Married,2.0,"Bachelor of Engineering, Massachusetts Institute of Technology",False,AS,IN,0,1,0,0,0,0,0,0
Cao Xiaochun,1.3,China,pharmaceuticals,2263,52.0,"Hangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Chang Pyung-soon,1.3,South Korea,educational services,2263,70.0,"Seoul, South Korea",South Korea,Married,2.0,"Bachelor of Arts/Science, Yonsei University",True,AS,KR,0,1,0,0,0,0,0,0
Jeffrey Cheah,1.3,Malaysia,property,2263,76.0,"Kuala Lumpur, Malaysia",Malaysia,Married,3.0,"Bachelor of Arts/Science, Victoria University",True,AS,MY,0,1,0,0,0,0,0,0
Vivien Chen,1.3,Hong Kong,real estate,2263,62.0,"Hong Kong, Hong Kong",Hong Kong,,3.0,,False,AS,HK,0,1,0,0,0,0,0,0
Cheng Lili,1.3,China,poultry breeding,2263,56.0,"Changzhou, China",China,Married,,,True,AS,CN,0,1,0,0,0,0,0,1
Cho Jung-ho,1.3,South Korea,finance,2263,62.0,"Seoul, South Korea",South Korea,Married,3.0,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California",False,AS,KR,0,1,0,0,0,0,0,0
Cho Jyh-jer,1.3,Taiwan,semiconductors,2263,,,Taiwan,Married,2.0,,True,AS,TW,0,1,0,0,0,0,0,0
Chu Jian,1.3,China,Manufacturing,2263,58.0,"Hangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Eduard Chukhlebov,1.3,Russia,metallurgy,2263,57.0,"Moscow, Russia",Russia,Married,,,True,EU,RU,0,0,1,0,0,0,0,0
Turgay Ciner,1.3,Turkey,diversified,2263,65.0,"Istanbul, Turkey",Turkey,Married,1.0,"Bachelor of Arts/Science, Istanbul Academy",True,AS,TR,0,1,0,0,0,0,0,0
Tim Cook,1.3,United States,Apple,2263,60.0,"Cupertino, California",United States,,,"Master of Business Administration, Fuqua School of Business",True,NAm,US,0,0,0,1,0,0,1,0
Richard Desmond,1.3,United Kingdom,publishing,2263,69.0,"London, United Kingdom",United Kingdom,Married,3.0,,True,EU,GB,0,0,1,0,0,0,0,0
Du Shuanghua,1.3,China,steel,2263,56.0,"Hengshui, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Egon Durban,1.3,United States,private equity,2263,47.0,"Atherton, California",United States,Married,3.0,"Bachelor of Science, Georgetown University",True,NAm,US,0,0,0,1,0,0,1,0
Eduardo Eurnekian,1.3,Argentina,"airports, investments",2263,88.0,"Buenos Aires, Argentina",Argentina,Single,,,True,SA,AR,0,0,0,0,0,1,0,0
Fan Minhua,1.3,China,pharmaceuticals,2263,59.0,"Haikou, China",China,Married,,,True,AS,CN,0,1,0,0,0,0,0,1
Feng Chenhui,1.3,United States,Electronics,2263,55.0,"Wuxi, China",United States,,,"Master, Tsinghua University",True,NAm,US,0,0,0,1,0,0,1,0
Feng Yi,1.3,China,software,2263,47.0,"Shenzhen, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
John Goff,1.3,United States,real estate,2263,66.0,"Fort Worth, Texas",United States,Married,,"Chartered Accountant, University of Texas",True,NAm,US,0,0,0,1,0,0,1,0
Kenneth Hao,1.3,United States,private equity,2263,52.0,"Hillsborough, California",United States,,,,True,NAm,US,0,0,0,1,0,0,1,0
